Bank0116,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN04014957,SRR3112282,SRR0116
Bank0118,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN04014959,SRR5168380,SRR0118
Bank0119,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN04014960,SRR5168382,SRR0119
Bank0154,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN04014995,SRR3112297,SRR0154
Bank0155,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN04014996,SRR5168512,SRR0155
Bank0157,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN04014998,SRR3112298,SRR0157
Bank0159,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN04015000,SRR5168520,SRR0159
Bank0439,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN07291532,SRR6994985,SRR0439
2022020725,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN31592297,SRR22179240,SRR2297
2022019541,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN31592295,SRR22179242,SRR2295
2022020726,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN30873959,SRR21590523,SRR3959
2022020859,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN30874017,SRR21590951,SRR4017
2022021052,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN31104257,SRR21765126,SRR4257
Bank0056,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN04014897,SRR3242008,SRR0056
Bank0112,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN04014953,SRR5168243,SRR0112
Bank0120,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN04014961,SRR5168385,SRR0120
Bank0121,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN04014962,SRR3112283,SRR0121
Bank0136,https://www.ncbi.nlm.nih.gov/sra/?term=SAMN04014977,SRR5168476,SRR0136